t,omega_fw1,omega_fw2,omega_fw3,omega_fw4
0,838,838,838,838
0.200000635147186,838,838,838,838
0.400001270294373,838,838,838,838
0.600001905441559,838,838,838,838
0.800002540588746,838,838,838,838
1.00000317573593,838,838,838,838
1.20000381088312,838,838,838,838
1.40000444603031,838,838,838,838
1.60000508117749,838,838,838,838
1.80000571632468,838,838,838,838
2.00000635147186,838,838,838,838
2.20000698661905,838,838,838,838
2.40000762176624,838,838,838,838
2.60000825691342,838,838,838,838
2.80000889206061,838,838,838,838
3.0000095272078,838,838,838,838
3.20001016235498,838,838,838,838
3.40001079750217,838,838,838,838
3.60001143264936,838,838,838,838
3.80001206779654,838,838,838,838
4.00001270294373,838,838,838,838
4.20001333809092,838,838,838,838
4.4000139732381,838,838,838,838
4.60001460838529,838,838,838,838
4.80001524353248,838,838,838,838
5.00001587867966,838,838,838,838
5.20001651382685,838,838,838,838
5.40001714897403,838,838,838,838
5.60001778412122,838,838,838,838
5.80001841926841,838,838,838,838
6.00001905441559,838,838,838,838
6.20001968956278,838,838,838,838
6.40002032470997,838,838,838,838
6.60002095985715,838,838,838,838
6.80002159500434,838,838,838,838
7.00002223015153,838,838,838,838
7.20002286529871,838,838,838,838
7.4000235004459,838,838,838,838
7.60002413559309,838,838,838,838
7.80002477074027,838,838,838,838
8.00002540588746,838,838,838,838
8.20002604103465,838,838,838,838
8.40002667618183,838,838,838,838
8.60002731132902,838,838,838,838
8.8000279464762,838,838,838,838
9.00002858162339,838,838,838,838
9.20002921677058,838,838,838,838
9.40002985191776,838,838,838,838
9.60003048706495,838,838,838,838
9.80003112221214,838,838,838,838
10.0000317573593,838,838,838,838
10.2000323925065,838,838,838,838
10.4000330276537,838,838,838,838
10.6000336628009,838,838,838,838
10.8000342979481,838,838,838,838
11.0000349330953,838,838,838,838
11.2000355682424,838,838,838,838
11.4000362033896,838,838,838,838
11.6000368385368,838,838,838,838
11.800037473684,838,838,838,838
12.0000381088312,838,838,838,838
12.2000387439784,838,838,838,838
12.4000393791256,838,838,838,838
12.6000400142727,838,838,838,838
12.8000406494199,838,838,838,838
13.0000412845671,838,838,838,838
13.2000419197143,838,838,838,838
13.4000425548615,838,838,838,838
13.6000431900087,838,838,838,838
13.8000438251559,838,838,838,838
14.0000444603031,838,838,838,838
14.2000450954502,838,838,838,838
14.4000457305974,838,838,838,838
14.6000463657446,838,838,838,838
14.8000470008918,838,838,838,838
15.000047636039,838,838,838,838
15.2000482711862,838,838,838,838
15.4000489063334,838,838,838,838
15.6000495414805,838,838,838,838
15.8000501766277,838,838,838,838
16.0000508117749,838,838,838,838
16.2000514469221,838,838,838,838
16.4000520820693,838,838,838,838
16.6000527172165,838,838,838,838
16.8000533523637,838,838,838,838
17.0000539875108,838,838,838,838
17.200054622658,838,838,838,838
17.4000552578052,838,838,838,838
17.6000558929524,838,838,838,838
17.8000565280996,838,838,838,838
18.0000571632468,838,838,838,838
18.200057798394,838,838,838,838
18.4000584335412,838,838,838,838
18.6000590686883,838,838,838,838
18.8000597038355,838,838,838,838
19.0000603389827,838,838,838,838
19.2000609741299,838,838,838,838
19.4000616092771,838,838,838,838
19.6000622444243,838,838,838,838
19.8000628795715,838,838,838,838
20.0000635147186,838,838,838,838
20.2000641498658,838,838,838,838
20.400064785013,838,838,838,838
20.6000654201602,838,838,838,838
20.8000660553074,838,838,838,838
21.0000666904546,838,838,838,838
21.2000673256018,838,838,838,838
21.400067960749,838,838,838,838
21.6000685958961,838,838,838,838
21.8000692310433,838,838,838,838
22.0000698661905,838,838,838,838
22.2000705013377,838,838,838,838
22.4000711364849,838,838,838,838
22.6000717716321,838,838,838,838
22.8000724067793,838,838,838,838
23.0000730419264,838,838,838,838
23.2000736770736,838,838,838,838
23.4000743122208,838,838,838,838
23.600074947368,838,838,838,838
23.8000755825152,838,838,838,838
24.0000762176624,838,838,838,838
24.2000768528096,838,838,838,838
24.4000774879567,838,838,838,838
24.6000781231039,838,838,838,838
24.8000787582511,838,838,838,838
25.0000793933983,838,838,838,838
25.2000800285455,837.999999999985,837.99999999982,838.000000000093,838.00000000012
25.4000806636927,837.999908122251,837.998901488427,838.000567851831,838.000730768144
25.6000812988399,837.999564263292,837.99468449807,838.002745936324,838.003538217431
25.8000819339871,837.998841119624,837.985581763727,838.007443377808,838.009602362597
26.0000825691342,837.99764102779,837.970065088371,838.015443230764,838.019945173659
26.2000832042814,837.995892941536,837.946831665493,838.027409740937,838.03543865084
26.4000838394286,837.993549558356,837.914790436296,838.043895629682,838.056813059093
26.6000844745758,837.990584604055,837.873048550521,838.065349355961,838.084665265202
26.800085109723,837.986990280843,837.820897992054,838.092122315048,838.119467124214
27.0000857448702,837.982774881688,837.757802423148,838.124475937578,838.161573865823
27.2000863800174,837.977960571271,837.683384294306,838.162588656919,838.211232435309
27.4000870151645,837.972581331843,837.597412260673,838.206562716976,838.268589747461
27.6000876503117,837.96668107057,837.499788940026,838.256430796356,838.333700815773
27.8000882854589,837.96031188357,837.390539042251,838.312162428484,838.406536722916
28.0000889206061,837.953532470737,837.269797895415,838.373670200517,838.486992402122
28.2000895557533,837.946406694583,837.137800389206,838.440815717043,838.574894202605
28.4000901909005,837.93900227576,836.994870352603,838.513415317298,838.670007215522
28.6000908260477,837.93138961745,836.841410379049,838.591245537249,838.772042340179
28.8000914611949,837.923640750653,836.677892109218,838.674048310171,838.880663073238
29.000092096342,837.915828392275,836.504846978536,838.761535901454,838.995492006588
29.2000927314892,837.908025108,836.322857434003,838.853395575269,839.116117022271
29.4000933666364,837.900302572088,836.132548622504,838.949293992376,839.24209717539
29.6000940017836,837.892730916482,835.934580550642,839.048881339868,839.372968258368
29.8000946369308,837.885378161941,835.729640714218,839.151795194962,839.508248042112
30.000095272078,837.87830972427,835.518437193725,839.257664126117,839.647441191714
30.2000959072252,837.87158798914,835.301692210674,839.366111035765,839.790043856238
30.4000965423723,837.865271949402,835.080136138125,839.476756249841,839.93554793387
30.6000971775195,837.859416899261,834.85450195754,839.589220360044,840.083445015294
30.8000978126667,837.854074180114,834.6255201529,839.703126825451,840.23323000963
31.0000984478139,837.849290973281,834.393914032016,839.818104340605,840.384404458531
31.2000990829611,837.845110135319,834.160395463998,839.933788977722,840.536479545231
31.4000997181083,837.841570071986,833.925661021044,840.049826110996,840.688978806338
31.6001003532555,837.838704647331,833.690388511944,840.165872131321,840.841440555095
31.8001009884026,837.836543124748,833.455233894051,840.281595959962,840.993420025594
32.0001016235498,837.83511013716,833.220828549897,840.396680369915,841.144491248107
32.200102258697,837.834425683831,832.987776914127,840.510823123792,841.294248666267
32.4001028938442,837.834505151569,832.756654436013,840.623737937164,841.44230850728
32.6001035289914,837.835359358335,832.528005862446,840.735155276323,841.58830991673
32.8001041641386,837.836994617516,832.302343826047,840.844822999389,841.7319158698
33.0001047992858,837.839412821308,832.080147722785,840.952506849691,841.872813870958
33.200105434433,837.842611541827,831.861862863397,841.057990810228,842.010716454242
33.4001060695801,837.84658414871,831.64789988275,841.161077327934,842.145361496362
33.6001067047273,837.851319942113,831.438634391328,841.26158741634,842.276512354809
