time,x,y,yaw,vx,vy,omega
0.0,0.009243190363001709,0.2775074277890295,2.197654659710293,0.0,0.0,0.0
0.0680074691772461,0.005332036424912026,0.2827418246152451,2.222786098856133,0.0,0.0,0.0
0.11931157112121582,0.002790543411751745,0.2859535880556699,2.2406153664513773,0.0,0.0,0.0
0.22128891944885254,-0.0036805570420889657,0.293727232849899,2.279115746542032,0.0,0.0,0.0
0.2731478214263916,-0.006889102652743079,0.2974121667599043,2.2992049981862617,0.0,0.0,0.0
0.30702829360961914,-0.008793211649345895,0.29947219467107145,2.311711429242518,0.0,0.0,0.0
0.3414466381072998,-0.01099558043762883,0.3018548610015741,2.3242688107645413,0.0,0.0,0.0
0.39198851585388184,-0.01425556724070108,0.305273500249744,2.3431462353944865,0.0,0.0,0.0
0.46009373664855957,-0.01856969124400195,0.30959170164489974,2.367311499097051,0.0,0.0,0.0
0.5123019218444824,-0.02213792978890375,0.3130411577371889,2.3856403883405406,0.0,0.0,0.0
0.546309232711792,-0.02461251124142294,0.31534940499001535,2.3978419708248055,0.0,0.0,0.0
0.5972046852111816,-0.02751949973720072,0.318034155113846,2.4138433945749638,0.0,0.0,0.0
0.6485319137573242,-0.03156139031159825,0.3215800825374056,2.4324252942099487,0.0,0.0,0.0
0.7001814842224121,-0.03512663315701823,0.3246955431329455,2.4516729724120796,0.0,0.0,0.0
0.7515418529510498,-0.039727513949820756,0.32839632800993834,2.471300639375922,0.0,0.0,0.0
0.8018503189086914,-0.042799884056164084,0.33087765693117144,2.4904000645490942,0.0,0.0,0.0
0.8356585502624512,-0.04559101857379616,0.3329690623376442,2.503483039029523,0.0,0.0,0.0
0.9730625152587891,-0.056331356684323916,0.34079936062494415,2.556156549204282,0.0,0.0,0.0
1.0067121982574463,-0.05914841438598463,0.3427000750519104,2.5690371006408372,0.0,0.0,0.0
1.0580756664276123,-0.06314563397704838,0.34530486690362855,2.5882284972940712,0.0,0.0,0.0
