t,delta_dot1,delta_dot2,delta_dot3,delta_dot4,omega_fw1,omega_fw2,omega_fw3,omega_fw4,rx,ry,rz,Ex,Ey,Ez,n,tau_dist_x,tau_dist_y,tau_dist_z,tau_mtq_x,tau_mtq_y,tau_mtq_z,S_CMG,S_RW
0,0,0,0,0,838,838,838,838,3854968.21280041,2954387.41719959,4772644.88132145,0,0,0,1,0,0,0,0,0,0,0,0
0.200000635147186,-1.0471975511966,0.845691229793625,-0.400205408880543,1.0471975511966,838,838,838,838,3854300.7980501,2953516.66017017,4773722.49687109,0,0,0,1,3.8475386201339e-07,-2.48643030003082e-07,8.74470267289471e-09,0,0,0,1.1821370462997,0.00326358985610796
0.400001270294373,0.24794134967655,0.323239707927638,0.555901827490021,1.0471975511966,838,838,838,838,3853633.18906574,2952645.75430092,4774799.87116627,4.47601126627872e-05,-0.001093360143712,0.000596308278395455,0.999999223487981,3.84888891175701e-07,-2.48779380865522e-07,8.7406128733098e-09,0,0,0,0.962036233700561,0.22519367058061
0.600001905441559,0.822186706086765,0.0367909794693356,0.902960749819094,1.0471975511966,838,838,838,838,3852965.38588127,2951774.69963596,4775877.00415292,-0.00126232649964663,-0.00248490406349187,0.00323449186607519,0.999990884881443,3.846120839698e-07,-2.47722846916444e-07,8.75574561586802e-09,0,0,0,0.93121564813309,0.323568037961288
0.800002540588746,0.865080282719537,-0.127862926093652,0.793967395463654,1.0471975511966,838,838,838,838,3852297.38853064,2950903.4962194,4776953.89577695,-0.00462054403465246,-0.00372390333080965,0.00829367117066741,0.999947997715541,3.85788638598642e-07,-2.47968276191225e-07,8.71817840104339e-09,0,0,0,1.13124043319517,0.322949544136697
1.00000317573593,0.805403133786897,-0.226192871684716,0.625320993622033,1.01276026631723,838,838,838,838,3851629.1970478,2950032.14409538,4778030.5459843,-0.010515584060713,-0.00469099619319646,0.0155859102317499,0.999812230595738,3.89472742751519e-07,-2.50583853338327e-07,8.58920882622861e-09,0,0,0,1.20514566615065,0.383722021826069
1.20000381088312,0.721240355658915,-0.248024238086712,0.454115626038935,0.716641279535591,838,838,838,838,3850960.81146672,2949160.64330803,4779106.95472094,-0.019153491559161,-0.00547931805327525,0.0245729854691877,0.999499519369517,3.96517269614195e-07,-2.55688127453525e-07,8.34444535933568e-09,0,0,0,1.13152394036971,0.480421960721598
1.40000444603031,0.638287489953091,-0.16157492534037,0.263597407863943,0.535224844819092,838,838,838,838,3850292.23182138,2948288.99390149,4780183.12193283,-0.0299625982053673,-0.00611912811338468,0.0348884336244608,0.998923218360224,4.07410158960994e-07,-2.6282124904615e-07,7.97343342885561e-09,0,0,0,1.0246633741274,0.515030864047423
1.60000508117749,0.542434466055707,-0.102559925229368,0.106891465461405,0.365222118420347,838,838,838,838,3849623.45814576,2947417.19591992,4781259.04756594,-0.0424738361153745,-0.00663534511460569,0.046230483783808,0.998005354599849,4.21237640823435e-07,-2.7174301495761e-07,7.48652453642931e-09,0,0,0,0.97406671651635,0.545598142953188
1.80000571632468,0.323346145949612,-0.301105254120476,0.170757418890422,0.147369630222983,838,838,838,838,3848954.49047387,2946545.24940747,4782334.73156627,-0.0563018234481663,-0.00704888061332659,0.0583505485232419,0.996682312196593,4.37210182348518e-07,-2.82257424450824e-07,6.89345107619805e-09,0,0,0,0.981452682592122,0.579512775539472
