t,x,y,yaw
10.684,-2.3744,0.0383,-2.5919
10.751,-2.3849,0.0187,-2.5607
10.819,-2.3899,0.0145,-2.5287
10.887,-2.3978,-0.0028,-2.4975
10.956,-2.4219,-0.0237,-2.4647
11.025,-2.439,-0.0372,-2.431
11.109,-2.4497,-0.047,-2.3872
11.177,-2.4749,-0.0717,-2.3499
11.245,-2.4915,-0.0891,-2.3114
11.313,-2.5,-0.0987,-2.272
11.381,-2.5222,-0.1255,-2.2304
11.449,-2.5392,-0.1491,-2.1876
11.517,-2.5474,-0.1637,-2.1438
11.585,-2.5594,-0.1884,-2.0995
11.653,-2.5723,-0.2156,-2.0539
11.721,-2.5821,-0.2366,-2.0068
11.789,-2.595,-0.2633,-1.9582
11.857,-2.6066,-0.2965,-1.907
11.925,-2.6181,-0.3292,-1.8537
11.993,-2.6257,-0.3598,-1.7978
12.061,-2.6332,-0.3979,-1.7388
12.13,-2.6386,-0.4348,-1.6757
12.215,-2.6418,-0.4777,-1.5922
12.283,-2.6416,-0.5098,-1.5211
12.351,-2.6457,-0.5296,-1.4482
12.419,-2.639,-0.5685,-1.3745
12.487,-2.628,-0.6138,-1.2981
12.555,-2.614,-0.6584,-1.2198
12.623,-2.6011,-0.7,-1.1411
12.691,-2.5797,-0.7437,-1.0628
12.759,-2.5542,-0.7858,-0.9847
12.827,-2.5282,-0.8231,-0.9077
12.896,-2.4954,-0.8625,-0.8324
12.964,-2.4653,-0.8947,-0.7621
13.033,-2.4364,-0.9254,-0.6967
13.102,-2.4091,-0.9545,-0.6357
13.186,-2.378,-0.9879,-0.5677
13.255,-2.3545,-1.0134,-0.5184
13.323,-2.333,-1.037,-0.475
13.391,-2.3127,-1.0595,-0.4365
13.459,-2.2936,-1.0817,-0.4028
13.527,-2.2754,-1.102,-0.373
13.595,-2.2583,-1.1205,-0.3468
13.663,-2.2423,-1.1373,-0.3244
13.731,-2.2268,-1.1528,-0.3056
13.799,-2.2116,-1.1672,-0.2903
13.867,-2.1967,-1.1807,-0.2786
13.935,-2.1817,-1.1937,-0.2704
14.003,-2.1668,-1.2061,-0.2656
14.071,-2.1518,-1.2183,-0.2643
14.139,-2.1364,-1.2305,-0.2663
14.207,-2.1207,-1.2428,-0.2718
14.276,-2.1042,-1.2556,-0.2808
14.344,-2.0874,-1.2688,-0.2931
14.429,-2.0654,-1.2862,-0.3132
14.497,-2.0469,-1.3012,-0.3331
14.565,-2.0275,-1.3173,-0.3563
14.633,-2.0073,-1.3347,-0.383
14.701,-1.9861,-1.3537,-0.413
14.77,-1.964,-1.3739,-0.4471
14.837,-1.9408,-1.3946,-0.4859
14.905,-1.9168,-1.416,-0.5293
14.973,-1.8919,-1.438,-0.5774
15.042,-1.8649,-1.4609,-0.631
15.11,-1.8368,-1.484,-0.6886
15.179,-1.8073,-1.5098,-0.7519
15.248,-1.7774,-1.5394,-0.8189
15.316,-1.7473,-1.5733,-0.8905
15.4,-1.7137,-1.6189,-0.9795
15.468,-1.691,-1.6553,-1.0462
15.537,-1.6716,-1.6912,-1.1089
15.604,-1.6559,-1.7254,-1.1675
15.672,-1.643,-1.7582,-1.2219
15.74,-1.6329,-1.7883,-1.2722
15.808,-1.6251,-1.8159,-1.3182
15.876,-1.6191,-1.8407,-1.3605
15.944,-1.6146,-1.8631,-1.3988
16.012,-1.6113,-1.8838,-1.433
16.114,-1.6077,-1.9114,-1.4771
16.182,-1.6049,-1.9305,-1.5019
16.25,-1.6033,-1.9502,-1.5232
16.318,-1.6025,-1.9699,-1.541
16.386,-1.602,-1.9891,-1.5553
16.454,-1.6018,-2.008,-1.5661
16.522,-1.6018,-2.0266,-1.5737
16.591,-1.6018,-2.0448,-1.5779
16.658,-1.6019,-2.0628,-1.5789
16.726,-1.6019,-2.0807,-1.5767
16.794,-1.6019,-2.0988,-1.5712
16.862,-1.6018,-2.1174,-1.5626
16.93,-1.6014,-2.1363,-1.5508
16.999,-1.6005,-2.1552,-1.5356
17.067,-1.599,-2.1735,-1.5174
17.135,-1.5969,-2.1915,-1.4959
17.203,-1.594,-2.2091,-1.4711
17.271,-1.5903,-2.2263,-1.443
17.339,-1.5855,-2.2431,-1.4113
17.424,-1.5789,-2.2635,-1.3666
17.492,-1.5737,-2.2794,-1.3264
